P,N,Word,Color,Congruency,Response,Accuracy,RT,Orientation,Accuracy2,RT2,Task
33,249,3,2,0,120,1,0.654580236470792,2,1,0.23111709998920599,Test
33,250,5,1,2,122,1,0.62310480000451196,1,1,0.37193379999371201,Test
33,251,2,2,1,122,0,0.42895420000422702,2,1,0.31406313643674399,Test
33,252,5,1,2,122,1,0.49016203643987,0,0,0,Test
33,253,4,4,1,109,1,0.48725279999780502,0,0,0,Test
33,254,2,3,0,110,1,0.645256999996491,1,1,0.49357369999051998,Test
33,255,1,4,0,109,1,0.52354543644469198,1,1,0.31420867293491,Test
33,256,5,2,2,120,1,0.326775136461947,0,0,0,Test
33,257,1,1,1,122,1,0.50494113645981997,1,1,0.33850963646546001,Test
33,258,5,3,2,110,1,0.59109339999849897,2,1,0.43108573643257803,Test
33,259,4,1,0,122,1,0.86135150000336602,0,0,0,Test
33,260,5,3,2,110,1,0.63538693645387001,0,0,0,Test
33,261,1,2,0,120,1,0.61419849999947496,0,0,0,Test
33,262,4,4,1,109,1,0.45783110000775201,1,1,0.45225169998593601,Test
33,263,5,3,2,110,1,0.49748340001678998,2,1,0.32017193647334402,Test
33,264,2,2,1,120,1,0.39308323644218002,1,1,0.29155413646367401,Test
33,265,3,1,0,122,1,0.91897483644424904,2,1,0.28301133646164101,Test
33,266,2,2,1,120,1,0.850013436458539,2,1,0.30686879999120698,Test
33,267,3,3,1,110,1,0.68734323646640405,2,1,0.31239843645016702,Test
33,268,5,4,2,109,1,0.461713436467107,2,1,0.22309430001769201,Test
33,269,4,1,0,122,1,0.48253410001052499,1,1,0.27064393644104701,Test
33,270,3,3,1,110,1,0.452514236443676,0,0,0,Test
33,271,1,1,1,122,1,0.43337593646720102,0,0,0,Test
33,272,4,4,1,109,1,0.40201079999678802,2,1,12.6163679364545,Test
33,273,5,3,2,110,1,0.69739813645719595,0,0,0,Test
33,274,3,2,0,120,1,0.66944320002221502,0,0,0,Test
33,275,4,4,1,109,1,0.42950673645827903,1,1,0.38189530000090599,Test
33,276,2,1,0,122,1,0.67390329999034304,0,0,0,Test
33,277,5,3,2,110,1,0.75251363645656999,1,1,0.32872089176089497,Test
33,278,3,4,0,109,1,0.45449880001251602,2,1,0.26882409999961998,Test
33,279,5,2,2,120,1,0.45979013646137901,2,1,0.306592709384859,Test
33,280,2,4,0,109,1,0.50908143646665904,1,1,0.316237336461199,Test
33,281,5,1,2,122,1,0.53790460000163898,1,1,0.28433729999232998,Test
33,282,2,2,1,120,1,0.54748000000836305,0,0,0,Test
33,283,5,3,2,110,1,0.60497040001791902,1,1,0.28106199999456299,Test
33,284,1,4,0,109,1,0.28030973646673402,2,1,0.26295980002032598,Test
33,285,3,2,0,120,1,0.616586836462375,2,1,0.28698930001701201,Test
33,286,5,1,2,122,1,0.76770199998281896,1,1,0.50580919999629304,Test
33,287,2,2,1,120,1,0.66039583645761002,2,1,0.25537729999632602,Test
33,288,5,1,2,122,1,0.66385407294728804,0,0,0,Test
33,289,4,4,1,109,1,0.476120800012723,0,0,0,Test
33,290,2,3,0,110,1,0.52746330000809405,1,1,0.29113853647140803,Test
33,291,1,4,0,109,1,0.482883099990431,1,1,0.27380653645377601,Test
33,292,5,2,2,120,1,0.64049493646598399,0,0,0,Test
33,293,1,1,1,122,1,0.53001833645976204,1,1,0.466747099999338,Test
33,294,5,3,2,110,1,0.706202436442254,2,1,0.452381236478686,Test
33,295,4,1,0,122,1,0.96237429999746404,0,0,0,Test
33,296,5,3,2,110,1,0.56163759998162299,0,0,0,Test
33,297,1,2,0,120,1,0.81100580000202205,0,0,0,Test
33,298,4,4,1,109,1,0.51266523645608697,1,1,0.55824559999746304,Test
33,299,5,3,2,110,1,0.57033409998984996,2,1,0.31372040000860602,Test
33,300,2,2,1,120,1,0.51242909999564301,1,1,0.25977903645252798,Test
33,301,3,1,0,122,1,0.57214040000690203,2,1,0.26826099999016201,Test
33,302,2,2,1,120,1,0.63892550001037296,2,1,0.25329259998397902,Test
33,303,3,3,1,110,1,0.38953843645867903,2,1,0.27959739998914301,Test
33,304,5,4,2,109,1,0.34927539998898299,2,1,0.19200809998437801,Test
33,305,4,1,0,120,0,0.41225900000426902,1,1,0.25981370001682103,Test
33,306,3,3,1,110,1,0.45735719997901503,0,0,0,Test
33,307,1,1,1,122,1,0.64543869998306003,0,0,0,Test
33,308,4,4,1,109,1,0.51052273644017998,2,1,0.33722410941845699,Test
33,309,5,3,2,109,0,0.469835836469429,0,0,0,Test
