N,Word,Color,Congruency,Response,Accuracy,RT,Orientation,Accuracy2,RT2,P,Congruence,Type,Excluded
213,5,4,2,109,1,0.67084259993862405,1,1,0,50,Neutral,NO-GO,0
214,1,1,1,122,1,0.45446620008442601,2,1,0.40327173843979802,50,Congruent,GO,0
215,5,3,2,110,1,0.66332077700644687,1,1,0,50,Neutral,NO-GO,0
216,1,1,1,122,1,0.51639510004315503,2,1,0.38509150000754688,50,Congruent,GO,0
217,2,2,1,120,1,0.86251081549562503,2,1,0.441789799951948,50,Congruent,GO,1
218,1,1,1,122,1,0.78058309992775288,2,1,0.51703770004678495,50,Congruent,GO,0
219,2,2,1,120,1,0.48837370006367592,1,0,0.31578119995538101,50,Congruent,False Alarm,0
220,4,3,0,110,1,0.58921770006418195,2,1,0.41658001556061203,50,Incongruent,GO,0
221,5,1,2,122,1,0.72639663843437985,2,1,0.45405040006153302,50,Neutral,GO,0
222,4,4,1,109,1,0.72878787701483805,1,1,0,50,Congruent,NO-GO,0
223,3,3,1,110,1,0.441939499927685,1,1,0,50,Congruent,NO-GO,0
224,1,2,0,120,1,0.68371661554556284,2,1,0.53343285399023388,50,Incongruent,GO,0
225,4,4,1,109,1,0.379253338440321,2,1,0.45858523843344301,50,Congruent,GO,0
226,3,1,0,122,1,0.58023697708267685,2,1,0.32812369999010088,50,Incongruent,GO,0
227,5,4,2,109,1,0.78356023842934486,1,1,0,50,Neutral,NO-GO,0
228,1,1,1,122,1,0.45916013850364801,2,1,0.410217315540649,50,Congruent,GO,0
229,5,4,2,109,1,0.61749127705115803,2,1,0.61157079995609787,50,Neutral,GO,0
230,2,1,0,122,1,0.66717870009597402,1,1,0,50,Incongruent,NO-GO,0
231,5,3,2,110,1,0.42179430008400193,2,1,0.51296085584908702,50,Neutral,GO,0
232,4,4,1,109,1,0.56906281551346205,1,1,0,50,Congruent,NO-GO,0
233,5,2,2,120,1,0.41140800004359301,1,1,0,50,Neutral,NO-GO,0
234,2,3,0,110,1,0.58882289996836301,2,1,0.31793100002687402,50,Incongruent,GO,0
235,5,4,2,109,1,0.50702140002977103,2,1,0.39169530000072,50,Neutral,GO,0
236,1,2,0,120,1,0.69543209997937105,2,1,0.63755789992865186,50,Incongruent,GO,0
237,4,3,0,110,1,0.659450115519576,2,1,0.40662437700666493,50,Incongruent,GO,0
238,2,2,1,120,1,0.75779897696338605,2,1,0.32275113847572401,50,Congruent,GO,0
239,3,1,0,122,1,0.80180193856358495,1,1,0,50,Incongruent,NO-GO,0
240,1,2,0,120,1,0.67179787706118088,2,1,0.48393487709108701,50,Incongruent,GO,0
241,5,4,2,109,1,0.53075323847588185,1,1,0,50,Neutral,NO-GO,0
242,4,1,0,122,1,0.65344205393921595,2,1,0.35420579998753993,50,Incongruent,GO,0
243,5,3,2,109,0,0.67624883854296103,1,1,0,50,Neutral,NO-GO,0
244,3,4,0,109,1,0.66206090000923701,1,1,0,50,Incongruent,NO-GO,0
245,5,2,2,120,1,0.69315160007681687,1,1,0,50,Neutral,NO-GO,0
246,4,3,0,110,1,0.54854389245156188,1,1,0,50,Incongruent,NO-GO,0
247,5,2,2,120,1,0.60202087706420604,1,1,0,50,Neutral,NO-GO,0
248,3,3,1,110,1,0.72863051551394187,2,1,0.53166740003507595,50,Congruent,GO,0
249,5,4,2,109,1,0.84901723847724486,1,1,0,50,Neutral,NO-GO,0
250,1,1,1,122,1,0.66658963845111385,2,1,0.49713749997317802,50,Congruent,GO,0
251,5,3,2,110,1,0.43913820001762388,1,1,0,50,Neutral,NO-GO,0
252,1,1,1,122,1,0.59010247699916385,2,1,0.48100499995052792,50,Congruent,GO,0
253,2,2,1,120,1,0.43145190004724993,2,1,0.482679238542914,50,Congruent,GO,1
254,1,1,1,122,1,0.56773609993979302,2,1,0.56774019997101288,50,Congruent,GO,0
255,2,2,1,120,1,0.59025760006625205,1,0,0.41394383844453803,50,Congruent,False Alarm,0
256,4,3,0,110,1,0.91184529999736685,2,1,0.419512615422718,50,Incongruent,GO,0
257,5,1,2,122,1,0.68467337696347386,2,1,0.34320823836606001,50,Neutral,GO,0
258,4,4,1,109,1,0.389319000067189,1,1,0,50,Congruent,NO-GO,0
259,3,3,1,110,1,0.49775550002232188,1,1,0,50,Congruent,NO-GO,0
260,1,2,0,120,1,0.43254997697658792,2,1,0.39691859995946288,50,Incongruent,GO,0
261,4,4,1,109,1,0.62159883847925801,2,1,0.36609969998244202,50,Congruent,GO,0
262,3,1,0,122,1,0.51419110002461788,2,1,0.46189119247719601,50,Incongruent,GO,0
263,5,4,2,109,1,0.52066400006879088,1,1,0,50,Neutral,NO-GO,0
264,1,1,1,122,1,0.714560799999163,2,1,0.75015069998335104,50,Congruent,GO,0
265,5,4,2,109,1,0.448855938506313,2,1,0.39596659992821492,50,Neutral,GO,0
266,2,1,0,122,1,0.51150630007032305,1,0,0.43733333854470402,50,Incongruent,False Alarm,0
267,5,3,2,110,1,0.50962740008253604,2,1,0.36898943851701888,50,Neutral,GO,0
268,4,4,1,109,1,0.55863087705802195,1,1,0,50,Congruent,NO-GO,0
269,5,2,2,120,1,0.66115237702615604,1,1,0,50,Neutral,NO-GO,0
270,2,3,0,110,1,0.39092527702450802,2,1,0.49317073845304588,50,Incongruent,GO,0
271,5,4,2,109,1,0.58724750007968385,2,1,0.725567361922003,50,Neutral,GO,0
272,1,2,0,120,1,0.48044925404246902,2,1,0.54387759999372087,50,Incongruent,GO,0
273,4,3,0,110,1,0.46082985401153592,2,1,0.47236789995804401,50,Incongruent,GO,0
274,2,2,1,120,1,0.67018707701936386,2,1,0.44372189999557993,50,Congruent,GO,0
275,3,1,0,122,1,0.69588211551308587,1,1,0,50,Incongruent,NO-GO,0
276,1,2,0,120,1,0.74930887704249505,2,1,0.67576670006383188,50,Incongruent,GO,0
277,5,4,2,109,1,0.51792180002666988,1,1,0,50,Neutral,NO-GO,0
278,4,1,0,122,1,0.75742135394830301,2,1,0.61938583839219086,50,Incongruent,GO,0
279,5,3,2,110,1,0.91465589997824304,1,1,0,50,Neutral,NO-GO,0
280,3,4,0,109,1,0.46483703854028102,1,1,0,50,Incongruent,NO-GO,0
281,5,2,2,120,1,0.77582980005536195,1,1,0,50,Neutral,NO-GO,0
282,4,3,0,110,1,0.48182627698406588,1,1,0,50,Incongruent,NO-GO,0
283,5,2,2,120,1,0.76205613836646102,1,1,0,50,Neutral,NO-GO,0
284,3,3,1,110,1,0.44599210005253592,2,1,0.38900980004109392,50,Congruent,GO,0
285,5,4,2,109,1,0.493907938478515,1,1,0,50,Neutral,NO-GO,0
286,1,1,1,122,1,0.29400323843583492,2,1,0.29432453843765,50,Congruent,GO,0
287,5,3,2,110,1,0.64735901542007901,1,1,0,50,Neutral,NO-GO,0
